id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
SE;Sudeste/Centro-Oeste;2025-08-03;35207.25908333
SE;Sudeste/Centro-Oeste;2025-08-04;41038.911875
SE;Sudeste/Centro-Oeste;2025-08-05;42677.83504167
SE;Sudeste/Centro-Oeste;2025-08-06;41971.73720833
SE;Sudeste/Centro-Oeste;2025-08-07;42454.31370833
SE;Sudeste/Centro-Oeste;2025-08-08;42748.43758333
SE;Sudeste/Centro-Oeste;2025-08-09;38429.36641667
SE;Sudeste/Centro-Oeste;2025-08-10;33992.91741667
SE;Sudeste/Centro-Oeste;2025-08-11;39449.778625
SE;Sudeste/Centro-Oeste;2025-08-12;40629.72383333
SE;Sudeste/Centro-Oeste;2025-08-13;41211.44675
SE;Sudeste/Centro-Oeste;2025-08-14;41969.38866667
SE;Sudeste/Centro-Oeste;2025-08-15;41840.33954167
SE;Sudeste/Centro-Oeste;2025-08-16;39147.65141667
SE;Sudeste/Centro-Oeste;2025-08-17;35971.15758333
SE;Sudeste/Centro-Oeste;2025-08-18;42239.471125
SE;Sudeste/Centro-Oeste;2025-08-19;43374.494
SE;Sudeste/Centro-Oeste;2025-08-20;44074.51679167
SE;Sudeste/Centro-Oeste;2025-08-21;45226.72354167
SE;Sudeste/Centro-Oeste;2025-08-22;45345.91029167
SE;Sudeste/Centro-Oeste;2025-08-23;42218.78579167
SE;Sudeste/Centro-Oeste;2025-08-24;38034.43966667
SE;Sudeste/Centro-Oeste;2025-08-25;43194.15575
SE;Sudeste/Centro-Oeste;2025-08-26;43949.52491667
SE;Sudeste/Centro-Oeste;2025-08-27;44152.6905
SE;Sudeste/Centro-Oeste;2025-08-28;44449.00533333
SE;Sudeste/Centro-Oeste;2025-08-29;44479.585375
SE;Sudeste/Centro-Oeste;2025-08-30;40381.09579167
SE;Sudeste/Centro-Oeste;2025-08-31;36582.993875
SE;Sudeste/Centro-Oeste;2025-09-01;42785.94545833
SE;Sudeste/Centro-Oeste;2025-09-02;44240.86716667
SE;Sudeste/Centro-Oeste;2025-09-03;44198.15020833
SE;Sudeste/Centro-Oeste;2025-09-04;44525.46195833
SE;Sudeste/Centro-Oeste;2025-09-05;44628.45175
SE;Sudeste/Centro-Oeste;2025-09-06;39931.05479167
SE;Sudeste/Centro-Oeste;2025-09-07;36617.81845833
SE;Sudeste/Centro-Oeste;2025-09-08;43537.65979167
SE;Sudeste/Centro-Oeste;2025-09-09;46062.31379167
SE;Sudeste/Centro-Oeste;2025-09-10;45271.73958333
SE;Sudeste/Centro-Oeste;2025-09-11;45526.21270833
SE;Sudeste/Centro-Oeste;2025-09-12;45366.083625
SE;Sudeste/Centro-Oeste;2025-09-13;41379.738875
SE;Sudeste/Centro-Oeste;2025-09-14;37917.15479167
SE;Sudeste/Centro-Oeste;2025-09-15;44244.88483333
SE;Sudeste/Centro-Oeste;2025-09-16;44791.37241667
SE;Sudeste/Centro-Oeste;2025-09-17;44145.92479167
SE;Sudeste/Centro-Oeste;2025-09-18;44093.93879167
SE;Sudeste/Centro-Oeste;2025-09-19;45170.88108333
SE;Sudeste/Centro-Oeste;2025-09-20;42290.73579167
SE;Sudeste/Centro-Oeste;2025-09-21;40399.05075
